Country Name,Country Code,Indicator Name,FINAL,dd
Afghanistan,AFG,Income share held by second 20%,13.61,
Afghanistan,AFG,Income share held by third 20%,17.37,
Afghanistan,AFG,Income share held by fourth 20%,22.14,
Afghanistan,AFG,Income share held by highest 20%,37.48,
Afghanistan,AFG,Income share held by highest 10%,23.21,
Afghanistan,AFG,Income share held by lowest 10%,4.8,
Afghanistan,AFG,Income share held by lowest 20%,9.4,
Afghanistan,AFG,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Afghanistan,AFG,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Afghanistan,AFG,Poverty gap at $2 a day (PPP) (%),,
Afghanistan,AFG,Poverty gap at $1.25 a day (PPP) (%),,
Afghanistan,AFG,GINI index,27.82,
Afghanistan,AFG,Poverty gap at national poverty line (%),7.9,
Afghanistan,AFG,Poverty headcount ratio at national poverty line (% of population),36,
Afghanistan,AFG,Poverty gap at rural poverty line (%),8.3,
Afghanistan,AFG,Poverty headcount ratio at rural poverty line (% of rural population),37.5,
Afghanistan,AFG,Poverty gap at urban poverty line (%),6.2,
Afghanistan,AFG,Poverty headcount ratio at urban poverty line (% of urban population),29,
Albania,ALB,Income share held by second 20%,12.5,
Albania,ALB,Income share held by third 20%,15.85,
Albania,ALB,Income share held by fourth 20%,2.94,
Albania,ALB,Income share held by highest 20%,43.2,
Albania,ALB,Income share held by highest 10%,28.99,
Albania,ALB,Income share held by lowest 10%,3.53,
Albania,ALB,Income share held by lowest 20%,8.14,
Albania,ALB,Poverty headcount ratio at $2 a day (PPP) (% of population),4.25,
Albania,ALB,Poverty headcount ratio at $1.25 a day (PPP) (% of population),0.62,
Albania,ALB,Poverty gap at $2 a day (PPP) (%),0.85,
Albania,ALB,Poverty gap at $1.25 a day (PPP) (%),0.19,
Albania,ALB,GINI index,34.51,
Albania,ALB,Poverty gap at national poverty line (%),2.3,
Albania,ALB,Poverty headcount ratio at national poverty line (% of population),12.4,
Albania,ALB,Poverty gap at rural poverty line (%),2.6,
Albania,ALB,Poverty headcount ratio at rural poverty line (% of rural population),14.6,
Albania,ALB,Poverty gap at urban poverty line (%),1.9,
Albania,ALB,Poverty headcount ratio at urban poverty line (% of urban population),1.1,
Algeria,DZA,Income share held by second 20%,,
Algeria,DZA,Income share held by third 20%,,
Algeria,DZA,Income share held by fourth 20%,,
Algeria,DZA,Income share held by highest 20%,,
Algeria,DZA,Income share held by highest 10%,,
Algeria,DZA,Income share held by lowest 10%,,
Algeria,DZA,Income share held by lowest 20%,,
Algeria,DZA,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Algeria,DZA,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Algeria,DZA,Poverty gap at $2 a day (PPP) (%),,
Algeria,DZA,Poverty gap at $1.25 a day (PPP) (%),,
Algeria,DZA,GINI index,,
Algeria,DZA,Poverty gap at national poverty line (%),,
Algeria,DZA,Poverty headcount ratio at national poverty line (% of population),,
Algeria,DZA,Poverty gap at rural poverty line (%),,
Algeria,DZA,Poverty headcount ratio at rural poverty line (% of rural population),,
Algeria,DZA,Poverty gap at urban poverty line (%),,
Algeria,DZA,Poverty headcount ratio at urban poverty line (% of urban population),,
American Samoa,ASM,Income share held by second 20%,,
American Samoa,ASM,Income share held by third 20%,,
American Samoa,ASM,Income share held by fourth 20%,,
American Samoa,ASM,Income share held by highest 20%,,
American Samoa,ASM,Income share held by highest 10%,,
American Samoa,ASM,Income share held by lowest 10%,,
American Samoa,ASM,Income share held by lowest 20%,,
American Samoa,ASM,Poverty headcount ratio at $2 a day (PPP) (% of population),,
American Samoa,ASM,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
American Samoa,ASM,Poverty gap at $2 a day (PPP) (%),,
American Samoa,ASM,Poverty gap at $1.25 a day (PPP) (%),,
American Samoa,ASM,GINI index,,
American Samoa,ASM,Poverty gap at national poverty line (%),,
American Samoa,ASM,Poverty headcount ratio at national poverty line (% of population),,
American Samoa,ASM,Poverty gap at rural poverty line (%),,
American Samoa,ASM,Poverty headcount ratio at rural poverty line (% of rural population),,
American Samoa,ASM,Poverty gap at urban poverty line (%),,
American Samoa,ASM,Poverty headcount ratio at urban poverty line (% of urban population),,
Andorra,AND,Income share held by second 20%,,
Andorra,AND,Income share held by third 20%,,
Andorra,AND,Income share held by fourth 20%,,
Andorra,AND,Income share held by highest 20%,,
Andorra,AND,Income share held by highest 10%,,
Andorra,AND,Income share held by lowest 10%,,
Andorra,AND,Income share held by lowest 20%,,
Andorra,AND,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Andorra,AND,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Andorra,AND,Poverty gap at $2 a day (PPP) (%),,
Andorra,AND,Poverty gap at $1.25 a day (PPP) (%),,
Andorra,AND,GINI index,,
Andorra,AND,Poverty gap at national poverty line (%),,
Andorra,AND,Poverty headcount ratio at national poverty line (% of population),,
Andorra,AND,Poverty gap at rural poverty line (%),,
Andorra,AND,Poverty headcount ratio at rural poverty line (% of rural population),,
Andorra,AND,Poverty gap at urban poverty line (%),,
Andorra,AND,Poverty headcount ratio at urban poverty line (% of urban population),,
Angola,AGO,Income share held by second 20%,5.66,
Angola,AGO,Income share held by third 20%,1.79,
Angola,AGO,Income share held by fourth 20%,19.69,
Angola,AGO,Income share held by highest 20%,61.86,
Angola,AGO,Income share held by highest 10%,44.74,
Angola,AGO,Income share held by lowest 10%,0.6,
Angola,AGO,Income share held by lowest 20%,2,
Angola,AGO,Poverty headcount ratio at $2 a day (PPP) (% of population),7.21,
Angola,AGO,Poverty headcount ratio at $1.25 a day (PPP) (% of population),54.31,
Angola,AGO,Poverty gap at $2 a day (PPP) (%),42.35,
Angola,AGO,Poverty gap at $1.25 a day (PPP) (%),29.94,
Angola,AGO,GINI index,58.64,
Angola,AGO,Poverty gap at national poverty line (%),,
Angola,AGO,Poverty headcount ratio at national poverty line (% of population),,
Angola,AGO,Poverty gap at rural poverty line (%),,
Angola,AGO,Poverty headcount ratio at rural poverty line (% of rural population),,
Angola,AGO,Poverty gap at urban poverty line (%),,
Angola,AGO,Poverty headcount ratio at urban poverty line (% of urban population),62.3,
Antigua and Barbuda,ATG,Income share held by second 20%,,
Antigua and Barbuda,ATG,Income share held by third 20%,,
Antigua and Barbuda,ATG,Income share held by fourth 20%,,
Antigua and Barbuda,ATG,Income share held by highest 20%,,
Antigua and Barbuda,ATG,Income share held by highest 10%,,
Antigua and Barbuda,ATG,Income share held by lowest 10%,,
Antigua and Barbuda,ATG,Income share held by lowest 20%,,
Antigua and Barbuda,ATG,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Antigua and Barbuda,ATG,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Antigua and Barbuda,ATG,Poverty gap at $2 a day (PPP) (%),,
Antigua and Barbuda,ATG,Poverty gap at $1.25 a day (PPP) (%),,
Antigua and Barbuda,ATG,GINI index,,
Antigua and Barbuda,ATG,Poverty gap at national poverty line (%),,
Antigua and Barbuda,ATG,Poverty headcount ratio at national poverty line (% of population),,
Antigua and Barbuda,ATG,Poverty gap at rural poverty line (%),,
Antigua and Barbuda,ATG,Poverty headcount ratio at rural poverty line (% of rural population),,
Antigua and Barbuda,ATG,Poverty gap at urban poverty line (%),,
Antigua and Barbuda,ATG,Poverty headcount ratio at urban poverty line (% of urban population),,
Argentina,ARG,Income share held by second 20%,9.31,
Argentina,ARG,Income share held by third 20%,14.78,
Argentina,ARG,Income share held by fourth 20%,22.17,
Argentina,ARG,Income share held by highest 20%,49.36,
Argentina,ARG,Income share held by highest 10%,32.3,
Argentina,ARG,Income share held by lowest 10%,1.46,
Argentina,ARG,Income share held by lowest 20%,4.38,
Argentina,ARG,Poverty headcount ratio at $2 a day (PPP) (% of population),1.87,
Argentina,ARG,Poverty headcount ratio at $1.25 a day (PPP) (% of population),0.92,
Argentina,ARG,Poverty gap at $2 a day (PPP) (%),0.92,
Argentina,ARG,Poverty gap at $1.25 a day (PPP) (%),0.65,
Argentina,ARG,GINI index,44.49,
Argentina,ARG,Poverty gap at national poverty line (%),,
Argentina,ARG,Poverty headcount ratio at national poverty line (% of population),,
Argentina,ARG,Poverty gap at rural poverty line (%),,
Argentina,ARG,Poverty headcount ratio at rural poverty line (% of rural population),,
Argentina,ARG,Poverty gap at urban poverty line (%),,
Argentina,ARG,Poverty headcount ratio at urban poverty line (% of urban population),6.5,
Armenia,ARM,Income share held by second 20%,12.81,
Armenia,ARM,Income share held by third 20%,16.68,
Armenia,ARM,Income share held by fourth 20%,21.93,
Armenia,ARM,Income share held by highest 20%,39.8,
Armenia,ARM,Income share held by highest 10%,25.4,
Armenia,ARM,Income share held by lowest 10%,3.74,
Armenia,ARM,Income share held by lowest 20%,8.78,
Armenia,ARM,Poverty headcount ratio at $2 a day (PPP) (% of population),12.43,
Armenia,ARM,Poverty headcount ratio at $1.25 a day (PPP) (% of population),1.28,
Armenia,ARM,Poverty gap at $2 a day (PPP) (%),2.27,
Armenia,ARM,Poverty gap at $1.25 a day (PPP) (%),0.25,
Armenia,ARM,GINI index,3.86,
Armenia,ARM,Poverty gap at national poverty line (%),7.8,
Armenia,ARM,Poverty headcount ratio at national poverty line (% of population),35.8,
Armenia,ARM,Poverty gap at rural poverty line (%),7.3,
Armenia,ARM,Poverty headcount ratio at rural poverty line (% of rural population),36,
Armenia,ARM,Poverty gap at urban poverty line (%),8,
Armenia,ARM,Poverty headcount ratio at urban poverty line (% of urban population),36,
Aruba,ABW,Income share held by second 20%,,
Aruba,ABW,Income share held by third 20%,,
Aruba,ABW,Income share held by fourth 20%,,
Aruba,ABW,Income share held by highest 20%,,
Aruba,ABW,Income share held by highest 10%,,
Aruba,ABW,Income share held by lowest 10%,,
Aruba,ABW,Income share held by lowest 20%,,
Aruba,ABW,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Aruba,ABW,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Aruba,ABW,Poverty gap at $2 a day (PPP) (%),,
Aruba,ABW,Poverty gap at $1.25 a day (PPP) (%),,
Aruba,ABW,GINI index,,
Aruba,ABW,Poverty gap at national poverty line (%),,
Aruba,ABW,Poverty headcount ratio at national poverty line (% of population),,
Aruba,ABW,Poverty gap at rural poverty line (%),,
Aruba,ABW,Poverty headcount ratio at rural poverty line (% of rural population),,
Aruba,ABW,Poverty gap at urban poverty line (%),,
Aruba,ABW,Poverty headcount ratio at urban poverty line (% of urban population),,
Australia,AUS,Income share held by second 20%,,
Australia,AUS,Income share held by third 20%,,
Australia,AUS,Income share held by fourth 20%,,
Australia,AUS,Income share held by highest 20%,,
Australia,AUS,Income share held by highest 10%,,
Australia,AUS,Income share held by lowest 10%,,
Australia,AUS,Income share held by lowest 20%,,
Australia,AUS,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Australia,AUS,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Australia,AUS,Poverty gap at $2 a day (PPP) (%),,
Australia,AUS,Poverty gap at $1.25 a day (PPP) (%),,
Australia,AUS,GINI index,,
Australia,AUS,Poverty gap at national poverty line (%),,
Australia,AUS,Poverty headcount ratio at national poverty line (% of population),,
Australia,AUS,Poverty gap at rural poverty line (%),,
Australia,AUS,Poverty headcount ratio at rural poverty line (% of rural population),,
Australia,AUS,Poverty gap at urban poverty line (%),,
Australia,AUS,Poverty headcount ratio at urban poverty line (% of urban population),,
Austria,AUT,Income share held by second 20%,13.33,
Austria,AUT,Income share held by third 20%,17.44,
Austria,AUT,Income share held by fourth 20%,22.88,
Austria,AUT,Income share held by highest 20%,37.79,
Austria,AUT,Income share held by highest 10%,23.5,
Austria,AUT,Income share held by lowest 10%,3.34,
Austria,AUT,Income share held by lowest 20%,8.56,
Austria,AUT,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Austria,AUT,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
